股票代碼,股票名稱,參考權重(%)
1101,台泥,0.58
1216,統一,1.02
1301,台塑,0.71
1303,南亞,0.8
1326,台化,0.52
1590,亞德客-KY,0.42
2002,中鋼,0.81
2207,和泰車,0.58
2301,光寶科,0.59
2303,聯電,1.68
2308,台達電,2.02
2317,鴻海,4.92
2327,國巨,0.63
2330,台積電,51.39
2345,智邦,0.68
2357,華碩,0.83
2379,瑞昱,0.73
2382,廣達,2.15
2395,研華,0.51
2408,南亞科,0.22
2412,中華電,1.32
2454,聯發科,4.89
2603,長榮,0.48
2801,彰銀,0.34
2880,華南金,0.65
2881,富邦金,1.48
2882,國泰金,1.23
2883,開發金,0.6
2884,玉山金,1.11
2885,元大金,1.02
2886,兆豐金,1.28
2887,台新金,0.59
2890,永豐金,0.69
2891,中信金,1.66
2892,第一金,0.82
2912,統一超,0.41
3008,大立光,0.69
3034,聯詠,0.95
3037,欣興,0.68
3045,台灣大,0.52
3231,緯創,0.98
3661,世芯-KY,0.66
3711,日月光投控,1.51
4904,遠傳,0.4
4938,和碩,0.57
5871,中租-KY,0.67
5876,上海商銀,0.5
5880,合庫金,0.76
6505,台塑化,0.26
6669,緯穎,0.54
